objective,family,source_checkpoint,k,d,loss_hessian_lambda_min,loss_hessian_lambda_max,loss_hessian_is_psd,numerical_rank,rank_threshold,rank_eigengap,r_used,n_subspaces,worst_isotropy_error_frobenius,worst_offsubspace_leakage,worst_effective_rank_error
dino,contrastive,barlowtwins_resnet50,64,64,-2.7173050460279294e-16,0.24964801055486094,True,55,2.4964801055486093e-09,10.372445050849027,55,25,8.03668814175075e-11,1.4015523779516493e-15,0
dino,contrastive,vicreg_resnet50,64,64,-1.3270417605064126e-29,0.006925477060219298,True,1,6.925477060219297e-11,6331751325.696707,1,25,1.7763568394002505e-15,1.7711266282743254e-16,0
infonce,contrastive,barlowtwins_resnet50,64,64,-0.006173553453171765,0.015502769923723007,False,6,1.5502769923723008e-10,inf,6,25,2.9262866728613605e-14,6.812633725669116e-16,0
infonce,contrastive,vicreg_resnet50,64,64,-0.0011252094958261682,0.004846037335812799,False,63,4.846037335812799e-11,inf,63,25,6.574703842505148e-14,1.1661970214569029e-16,0
moco,contrastive,barlowtwins_resnet50,64,64,-0.003200949347210785,0.004667053113657467,False,4,4.6670531136574675e-11,inf,4,25,4.6841163980971925e-15,5.957299114920711e-16,0
moco,contrastive,vicreg_resnet50,64,64,-0.0006511529366186768,0.0013628185204012323,False,63,1.3628185204012324e-11,inf,63,25,3.6792441312423334e-14,1.0578296522815452e-16,0
simclr,contrastive,barlowtwins_resnet50,64,64,-0.006173553453171765,0.015502769923723007,False,6,1.5502769923723008e-10,inf,6,25,2.9262866728613605e-14,6.812633725669116e-16,0
simclr,contrastive,vicreg_resnet50,64,64,-0.0011252094958261682,0.004846037335812799,False,63,4.846037335812799e-11,inf,63,25,6.574703842505148e-14,1.1661970214569029e-16,0
barlow_twins,non_contrastive,barlowtwins_resnet50,64,64,-32242000.688447524,0.9121896960526932,False,45,9.121896960526932e-09,inf,45,25,7.975045678095936e-15,6.065161956163683e-16,0
barlow_twins,non_contrastive,vicreg_resnet50,64,64,-0.009501679305139834,5076394.710616654,False,1,0.05076394710616654,114806202.52828798,1,25,1.5543122344752192e-15,1.6798783975988449e-16,0
byol,non_contrastive,barlowtwins_resnet50,64,64,-0.034190112152791975,0.04341145930010988,False,63,4.3411459300109883e-10,inf,63,25,9.625102189612946e-11,2.6984745450616655e-15,0
byol,non_contrastive,vicreg_resnet50,64,64,-0.0040881705483231815,0.00329476199622451,False,1,3.29476199622451e-11,inf,1,25,1.4432899320127035e-15,2.942362005803683e-16,0
simsiam,non_contrastive,barlowtwins_resnet50,64,64,-0.013754868503132598,0.013365345487483474,False,1,1.3365345487483474e-10,inf,1,25,2.9976021664879227e-15,3.7944379889354637e-16,0
simsiam,non_contrastive,vicreg_resnet50,64,64,-0.0012180788433579877,0.0011358395782591509,False,1,1.1358395782591509e-11,inf,1,25,1.3322676295501878e-15,3.825088199230896e-16,0
vicreg,non_contrastive,barlowtwins_resnet50,64,64,0.1720593552653692,0.7827669469846177,True,64,7.827669469846178e-09,inf,64,25,1.7327504728173008e-14,8.591340000829812e-30,0
vicreg,non_contrastive,vicreg_resnet50,64,64,0.18425343480840983,0.7979748807399112,True,64,7.979748807399113e-09,inf,64,25,1.7464108031874607e-14,8.591340000829813e-30,0
