model,orbit,n_trajectories,steps,spread_backbone_mean,spread_head_mean,compression_ratio,compression_ratio_sem,curvature_backbone,curvature_head,curvature_ratio,eff_rank_backbone,eff_rank_head,alignment_gain
barlowtwins_resnet50,blur,50,12,1.0545680180461923,5.058579965816479,0.20847115695955593,0.06571151901405918,0.04814902155755643,0.08083452967552528,1.6788405467159329,1.6082272292991906,1.6144200442521488,-0.03918237805366516
barlowtwins_resnet50,hue,50,12,2.799401963330192,10.19633772084704,0.27454974913263636,0.03870945766748601,0.26192132526359685,0.47637238284545125,1.8187613489128138,4.344640179303889,2.852330144985885,-0.14254333898425103
barlowtwins_resnet50,rotation,50,12,8.223412581825245,18.241291737695516,0.45081306192979825,0.050373376061758554,0.5090519281513273,1.1337778902257305,2.2272342516079995,4.13216706125872,3.8551287193834787,-0.351994948053034
barlowtwins_resnet50,saturation,50,12,1.581359993521693,5.367970277124694,0.2945917938965814,0.03763641782489896,0.0853438880005455,0.16664393385905718,1.9526170855725724,2.2351368970390326,2.2041030560218213,-0.14227861881256104
dino_resnet50,blur,50,12,3.45243601275895,0.5291294455428006,6.524747473120331,0.6812631402204409,0.0907322408321894,0.0008519793881460274,0.00939004019223746,1.6236411309100323,1.5564519864917445,0.12390578627586364
dino_resnet50,hue,50,12,2.7336972817958567,0.5059115936438122,5.403507877940667,0.6695340677121355,0.2784862318459032,0.0023458149114607414,0.00842345022197998,4.713744808383155,3.029588676432961,0.10746663570404053
dino_resnet50,rotation,50,12,8.968692267431138,2.3731734213204567,3.7791980083953876,0.4709586250384675,0.5577395140439705,0.005778173078029825,0.010359985140974415,5.1209920819356025,2.718596361578893,0.4603340619802475
dino_resnet50,saturation,50,12,1.5944629841938576,0.3006565633871041,5.303270170559822,0.8006540696863483,0.0893145359675463,0.0008630549047180985,0.009663095658154703,2.278486241077875,2.159777997427878,0.1063725459575653
dino_vits16,blur,50,12,325.0583016084181,29.996112244601285,10.836681065791193,4.578260225101047,0.04556237651247935,0.018086945545903975,0.39697107417015515,1.6973556048513105,1.5177842280473175,0.04720210075378418
dino_vits16,hue,50,12,992.7817975171872,83.6074678227056,11.874319643580614,1.7778586936631235,0.24432944343198273,0.11490385625763654,0.47028247862245004,3.6894174032004305,2.5746142108784165,0.11358770608901977
dino_vits16,rotation,50,12,2036.6830077878644,263.8013502383082,7.720517753028943,0.21038252334389135,0.40975211099128617,0.24449058911819332,0.5966792667076526,3.678534844336155,2.8025572041556135,0.40188067555427553
dino_vits16,saturation,50,12,506.90442530418767,47.814230057849336,10.601539012358783,1.4334683545456524,0.0709806425802862,0.029779956458034215,0.4195503925503366,2.0868522934953293,1.8362853021280328,0.11204323053359985
vicreg_resnet50,rotation,50,12,112.82284646651766,451.23914349101983,0.25002894384042496,0.027230950924902998,0.4711213821376032,1.0764305252868853,2.2848263018817643,3.9777439636733827,4.055890158985413,-0.3615140810568118
